label,statement,subject,context,label_encoded,truthfulness_score,predicted_class,predicted_label,gate_decision
half-true,1 percent of Americans are millionaires. 47 percent of House Reps. are millionaires. 56 percent of Senators are millionaires.,occupy-wall-street,Facebook,3,0.78631884,5,true,allow
barely-true,Taxpayers subsidize 80 percent of each MARTA trip,transportation,an interview,2,0.69837874,5,true,allow
true,Says Milken Institute rated San Antonio as nations top-performing local economy.,economy,his speech at the Texas Democratic Party State Convention in Houston,5,0.66560745,3,half-true,allow
barely-true,"Citizens Property Insurance has over $500 billion worth of risk, with less than $10 billion worth of surplus.","state-budget,weather",comments to the press,2,0.7202081,4,mostly-true,allow
true,Putting three Republicans in my Cabinet...is unprecedented.,history,a news conference,5,0.68587327,5,true,allow
mostly-true,"From 1980 to 1990, the top 1 percent saw their income go up by roughly 80 percent while the median wage in the country over (the same) 10 years went up 3 percent.","economy,history,income,pundits,taxes","HBO's ""Real Time with Bill Maher""",4,0.6595015,3,half-true,allow
true,"I am very proud, as governor of Florida, that we signed the first divestment act, as it relates to Iran, divesting any investments in companies that would invest in Iran.","florida,foreign-policy",a U.S. Senate debate on CNN’s “State of the Union.”,5,0.68625313,5,true,allow
half-true,More (student-athletes) graduate than the students who arent student-athletes.,"education,sports","comments on ABC's ""This Week""",3,0.70485556,4,mostly-true,allow
half-true,Says Mitt Romney flip-flopped on an assault weapons ban.,"guns,message-machine-2012",a campaign advertisement,3,0.6766372,5,true,allow
mostly-true,Says Bill Nelson voted 98 percent of the time with Barack Obama.,voting-record,a U.S. Senate debate,4,0.65887225,5,true,allow
mostly-true,"In Florida we have 75,000 on (a) waiting list for child care and 23,000 on waiting lists for community care for the elderly.","children,education,state-budget","a ""Tampa Tribune"" blog",4,0.72382987,4,mostly-true,allow
true,The number of inmates since 2000 on death row dying of natural causes has now surpassed the number of inmates executed.,"crime,legal-issues",comments to reporters.,5,0.7791835,5,true,allow
mostly-true,Eighty percent of the American people support an approach (to federal budget problems) that includes revenues and includes cuts.,"federal-budget,polls,taxes",a press conference,4,0.744496,4,mostly-true,allow
half-true,About 1 percent of all the gun sellers are responsible for more than half of the guns that are used in crimes.,"crime,government-regulation,guns",a forum,3,0.6529063,4,mostly-true,allow
true,Texas is the state that has now gone the longest without electing a Democrat statewide.,"elections,history",a panel at the Texas Tribune Festival.,5,0.8185065,5,true,allow
true,"Today, if you were raised poor, youre just as likely to stay poor as you were 50 years ago.","families,income,poverty",a column posted on Medium.com,5,0.6551429,4,mostly-true,allow
mostly-true,The United States has the longest surviving constitution.,"foreign-policy,history,new-hampshire-2012","a campaign appearance in Milford, N.H.",4,0.78775024,5,true,allow
mostly-true,"Says, In Oregon in 2010, 49 percent of all pregnancies were unintended.","children,families,health-care,women",a House floor speech,4,0.660164,4,mostly-true,allow
half-true,Austin school district teachers are the lowest paid of any urban Texas district and the lowest paid of any surrounding school district.,"education,state-budget,state-finances","an interview with Kiah Collier, Austin American-Statesman reporter",3,0.7030593,4,mostly-true,allow
half-true,Says Clackamas County has more urban renewal debt than all the other Oregon counties combined.,county-government,in a press release,3,0.75647336,5,true,allow
mostly-true,Iraq has the second-largest oilfields in the world (behind) Saudi Arabia.,"energy,foreign-policy",an interview with Sean Hannity of Fox News,4,0.72808707,5,true,allow
barely-true,"We spend in tax loopholes annually $1.1 trillion. Thats more than we spend on our defense budget in a year, on Medicare or Medicaid in a year.",taxes,an interview with the editorial board of 'The Telegraph.',2,0.7654471,5,true,allow
mostly-true,Over half of the black workers in this country earn less than $15 an hour.,"diversity,economy,jobs","a Democratic presidential candidates' forum in Rock Hill, S.C.",4,0.72833014,4,mostly-true,allow
half-true,"Insured Floridians pay about $2,000 for every hospital stay to cover the cost of the uninsured.","health-care,medicaid",a report on health care costs,3,0.783464,5,true,allow
pants-fire,This would be the largest casino in the United States.,gambling,a campaign press event,0,0.65179074,5,true,allow
true,Pasco County schools have graduation rates substantially higher than the state average and dropout rates below the state average.,education,a press release,5,0.717861,3,half-true,allow
mostly-true,Eighty-five percent of the states in the United States that had electrocution have now abolished it.,"criminal-justice,states",a floor debate.,4,0.6940611,4,mostly-true,allow
half-true,"Says that each year, about 25,000 American women become pregnant through rape or incest.","abortion,crime",an opinion article,3,0.6640699,4,mostly-true,allow
half-true,"Bill Nelson leased land that he owned for six cows, taking advantage of an agricultural tax loophole to dodge $43,000 in taxes just last year.","agriculture,taxes",a TV commercial,3,0.7187836,5,true,allow
false,"In rural Virginia, Sen. Warner ran 8-10 points ahead of a traditional Democrat -- ahead of Senator Kaine, ahead of Governor McAuliffe.",elections,a forum,1,0.75640285,4,mostly-true,allow
mostly-true,Old City in Philadelphiaused to have more than a dozen clubs and thats what we were known for and now were down to two.,nightlife,In the Philadelphia Business Journal,4,0.69474375,5,true,allow
half-true,"Since the first of the year, 153 businesses at last count had moved out of California to Texas.",economy,on an episode of Fox & Friends,3,0.7425519,5,true,allow
true,Health care premiums for consumers have doubled since 2001.,health-care,a column in the newspaper Roll Call,5,0.67741734,4,mostly-true,allow
mostly-true,"Says, Less than half of all states have legal protections on the basis of sexual orientation or gender identity, despite the fact that LGBT Americans report employment discrimination and unemployment at much higher rates than the U.S. average.","civil-rights,diversity,gays-and-lesbians,jobs,workers",a press release,4,0.72069275,4,mostly-true,allow
false,"Gov. Romney himself, with 28 other Republican governors, supported policies that would have eliminated the time limits in the welfare reform law and allowed people to stay on welfare forever.",welfare,a press White House press briefing,1,0.6521325,3,half-true,allow
mostly-true,"By a two-to-one margin, Rhode Islanders want to ban assault weapons and we have a very small percentage of gun owners in this state, less than 13 percent.","government-regulation,guns,legal-issues,public-health,public-safety,recreation,market-regulation,states",a speech during a rally at the Rhode Island state house,4,0.7703818,4,mostly-true,allow
pants-fire,Wisconsin dropped from second in the country to 41st among states where more than half the students took the ACT exam.,"children,education,state-budget,states",a news release,0,0.6547071,3,half-true,allow
mostly-true,"Says 315,000 mostly minority Texas students are enrolled in failing schools.",education,"a state Senate committee hearing April 9, 2013",4,0.6794996,3,half-true,allow
true,The president campaigned against this type of legislation.,federal-budget,a speech on the House floor.,5,0.66232,5,true,allow
half-true,Two million more Latinos are in poverty today than when President Obamatook his oath of office less than eight years ago.,"economy,immigration,poverty,welfare",a speech at the Republican National Convention in Cleveland,3,0.65018314,4,mostly-true,allow
mostly-true,America is No. 1 in wind power.,energy,the State of the Union address,4,0.72716326,4,mostly-true,allow
mostly-true,People have a constitutional right to have semiautomatic rifles.,"guns,legal-issues,supreme-court",an interview,4,0.68233216,5,true,allow
mostly-true,"This budget also reflects the smallest state government workforce per 1,000 residents in Florida in this century.","jobs,state-budget",a press release,4,0.81310946,5,true,allow
mostly-true,"The film and TV industry supports more than 24,000 direct jobs and pays local workers more than $1.68 billion in wages in Georgia.",jobs,a press release,4,0.7625003,4,mostly-true,allow
mostly-true,"When it comes to income taxes, Wisconsin is one of the best places in the country to be poor but top 4 or 5 worst for middle-income earners.","state-budget,state-finances,taxes",an interview,4,0.6670685,3,half-true,allow
true,The collective net worth of Americans has taken a $5.5 trillion hit ... mainly due to plummeting home values.,"economy,housing",an opinion column,5,0.70737106,3,half-true,allow
true,"The average Georgia family makes $6,000 less than the average family did 10 years ago when inflation is factored in.","economy,income",a speech,5,0.7640547,4,mostly-true,allow
mostly-true,Ohio ranks 46th in the country in putting dollars in the classroom.,"education,government-efficiency",a news conference,4,0.69436884,3,half-true,allow
barely-true,"Says in 2003 Texas cut $10 billion out of the entire budget, yet we put $1.8 billion more into public education. We put $800 million more into health and human services.",state-budget,an interview with The Texas Tribune and Newsweek,2,0.6869521,3,half-true,allow
mostly-true,"Among Hispanics, support for immigration reform is close to universal.",immigration,a web interview with ABC News,4,0.70447683,4,mostly-true,allow
half-true,Wages adjusted for inflation havent risen since the turn of the last century.,"economy,jobs,workers","a Democratic presidential debate in Des Moines, Iowa",3,0.7191372,4,mostly-true,allow
mostly-true,"When we started this health care debate a year ago, 85 percent of the American people had health insurance, and 95 percent of the 85 percent were happy with it.","health-care,pundits",a roundtable segment on ABC's This Week,4,0.7188817,4,mostly-true,allow
true,"Since John F. Kennedy was assassinated in 1963, more Americans have died by gunfire within our own country than American servicemen and women who were killed in all our wars.",guns,a rally flier,5,0.76317203,5,true,allow
false,Says If you compare the Portland Metro area to the CDCs statewide cavity rates ... the Portland Metro area would actually rank as having the 15th lowest cavity rate in the U.S.,"public-health,water",a campaign flier,1,0.7000121,4,mostly-true,allow
true,"It costs $10,000 a year to keep a child in school; it costs $30,000 a year to keep someone in prison.","crime,education,public-safety,state-budget",in State of the State speech,5,0.6651903,4,mostly-true,allow
false,"He was offered medical care for his injuries if he would give up military information in return. John McCain said, 'No.'",candidates-biography,a speech at the Republican National Convention,1,0.65454566,5,true,allow
true,"Last weeks three most-viewed television programs wereSunday Night Football, Thursday Night Football and Monday Night Football.",sports,"a panel on ""Fox News Sunday""",5,0.7296066,5,true,allow
true,"About 106,000 soldiers had a prescription of three weeks or more for pain, depression or anxiety medication.","health-care,military,abc-news-week","an interview on ""This Week.""",5,0.7139217,4,mostly-true,allow
true,John McCain says it's okay with him if the U.S. spends the next thousand years in Iraq.,iraq,a television ad.,5,0.6524469,5,true,allow
true,"Says that in 2015, illegal immigrants accounted for 75 percent of federal drug possession convictions and 5 percent to 30 percent of convictions for murder and kidnapping plus two other crimes.","crime,criminal-justice,immigration",a slide presented on Hannity’s show during an Austin interview of Donald Trump,5,0.70388526,4,mostly-true,allow
mostly-true,The average Atlanta resident spends an extra $924 each year in additional gasoline and wasted time.,transportation,a flier,4,0.6818962,4,mostly-true,allow
mostly-true,"6,400 Ohioans ... lost manufacturing jobs in the month of September.","economy,jobs",a news release,4,0.7064481,5,true,allow
false,"Of the roughly 15 percent of Americans who dont have health insurance, half of them made more than $50,000 a year.","health-care,income","an interview on Comedy Central's ""The Daily Show""",1,0.71570086,4,mostly-true,allow
barely-true,"The United States can immediately tap a domestic energy resource of more than 1.5 trillion barrels of oil, six times more than Saudi Arabia.","climate-change,energy,environment,foreign-policy,gas-prices",a news release,2,0.7544726,5,true,allow
mostly-true,It is already in the law that there is a requirement to screen (refugees) for religion.,"foreign-policy,religion,terrorism","an interview on ""Face the Nation""",4,0.73829234,5,true,allow
false,"McCain ""has opposed stem cell research.""",health-care,a radio ad,1,0.75240207,5,true,allow
half-true,We already pay the highest electricity prices in the country here in New England.,energy,a TV interview,3,0.6630432,5,true,allow
mostly-true,There's only four senators senior to me ... there's still 44 older than me.,candidates-biography,"Springfield, Ill.",4,0.84804237,5,true,allow
false,"All four on Mount Rushmore, they were all independents at one critical point in their career.","elections,history",a campaign forum,1,0.694162,5,true,allow
true,Rhode Islands exports have increased by 53 percent in the last two years.,"economy,states,trade",a news release.,5,0.6868651,4,mostly-true,allow
mostly-true,"Mitt Romney boasts that he is ""proud to be the only major candidate for president to sign the tax pledge. The others have not.""",taxes,a radio ad.,4,0.76181936,5,true,allow
half-true,"More than 250 (voter registration) groups, ranging across the entire political spectrum, have filed with the state and are registering voters right now.",elections,"an ""Orlando Sentinel"" opinion piece",3,0.7247807,4,mostly-true,allow
mostly-true,"Barack Obama got more campaign contributions from Fannie Mae and Freddie Mac ""than any other member of Congress, except for the Democratic chairmen of the committee that oversees them.""",ethics,"Green Bay, Wis.",4,0.70691764,5,true,allow
barely-true,I brought down crime more than anyone in this country -- maybe in the history of this country -- while I was mayor of New York City. -,crime,"a debate in Orlando, Fla.",2,0.6609247,3,half-true,allow
mostly-true,The United States is the only developed country in the world without paid maternity leave.,"jobs,women,workers",an op-ed for Huffington Post,4,0.7484857,4,mostly-true,allow
mostly-true,A voucher school that closed after 9 days this year collected $5.4 million in taxpayer subsidies since first opening.,state-budget,a tweet,4,0.70517665,5,true,allow
half-true,"The United States spends $2.2 billion on free cell phones, $27 million on Moroccan pottery classes and pays for the travel expenses for the watermelon queen in Alabama.","agriculture,federal-budget,foreign-policy,poverty",an interview,3,0.68299526,4,mostly-true,allow
pants-fire,The United States is at historic record highs of individuals being apprehended on the border from countries with terrorist ties such as Pakistan or Afghanistan or Syria.,"afghanistan,immigration,terrorism","comments on CNN's ""State of the Union""",0,0.71082604,4,mostly-true,allow
mostly-true,My home state since June of 2009 created 40 percent of the new jobs in America.,jobs,a speech,4,0.6809381,4,mostly-true,allow
barely-true,"Onion Creeks highest flow rate on a recent night of flooding was 120,000 cubic feet per second, which is nearly double the average flow rate of Niagara Falls.","corrections-and-updates,water",a press release,2,0.7081118,5,true,allow
half-true,"Says last year 13 million (health insurance) rebates went out, in all 50 states. Another 8.5 (million) rebates are being sent out this summer, averaging around 100 bucks each.",health-care,a speech at the White House,3,0.73617,4,mostly-true,allow
mostly-true,"We're spending $1.6 billion for all of Latin America in terms of aid and assistance, a fraction of what we're spending in Iraq, the $500 billion we've spent there",foreign-policy,"a debate in Miami, Fla.",4,0.7078511,4,mostly-true,allow
true,"If you look at the number of illegal immigrants coming into the country, it is net zero. Its been that way now for almost two years.",immigration,an interview on 'Meet the Press.',5,0.6743293,4,mostly-true,allow
mostly-true,"The gender gap in his support is not unique to me and theres not a huge gap from where Republicans have been in presidential, gubernatorial and US Senate elections in recent years.","elections,women",an interview,4,0.68361235,4,mostly-true,allow
false,"In 2011, Alabama and Massachusetts passed legislation allowing non-citizens who are legal residents to vote in state and local elections.","elections,legal-issues",a House Judiciary Committee hearing,1,0.6577133,5,true,allow
barely-true,"Across the country, more than half of the U.S. attorney seats remain without a prosecutor chosen by Obama.",legal-issues,an op-ed article,2,0.74558496,4,mostly-true,allow
true,Almost every state has offered an insurance plan on its health exchange that does not cover abortion.,"abortion,health-care,women",a newspaper editorial,5,0.6924253,5,true,allow
true,Georgia has the second-highest rate of childhood obesity in the United States.,children,a press release,5,0.7536604,4,mostly-true,allow
false,There is a precedent for not nominating someone to the U.S. Supreme Court in the middle of a presidential election.,"congress,history,legal-issues,supreme-court",an interview,1,0.76311296,5,true,allow
true,Four out of 10 homicides are committed by gun in this city.,"crime,guns",a city council meeting,5,0.66970444,5,true,allow
pants-fire,"Says it probably costs more than $300,000 to run for a seat on the Pedernales Electric Cooperative board of directors.","elections,energy",a Texas Senate committee hearing.,0,0.6551314,4,mostly-true,allow
half-true,"Last month, 44 of the 50 states saw an increase in the unemployment rate.","economy,jobs,states",a speech to the Republican National Convention in Tampa,3,0.67150986,3,half-true,allow
true,The House has never failed to pass a budget in the modern era.,"federal-budget,abc-news-week","an interview on ABC's ""This Week''",5,0.80120873,5,true,allow
half-true,Mr. Renacci was registered as a foreign trade lobbyist in the United States government.,"campaign-advertising,trade",a debate,3,0.7044295,5,true,allow
mostly-true,Says the main Central Texas food bank is delivering 50 percent more food to the poor than three years ago.,"economy,poverty",a speech delivered to U.S. House of Representatives.,4,0.6581497,4,mostly-true,allow
false,"McCain ""still thinks it's okay when women don't earn equal pay for equal work.""",legal-issues,a speech at the Democratic National Convention.,1,0.69738495,5,true,allow
barely-true,Gene Green is the NRAs favorite Democrat in Congress. ... Its no wonder the congressman has a lifetime A rating from the NRA.,guns,a campaign news release,2,0.6616255,5,true,allow
half-true,Says the U.S. federal income tax rate was 0 percent until 1913.,"history,taxes",a Republican presidential debate in South Carolina,3,0.78100777,5,true,allow
true,"Texas has, now, the highest share of minimum-wage workers in the nation.",workers,a speech to the Central Texas Democratic Forum,5,0.75049084,4,mostly-true,allow
half-true,"Says that on average, Democratic congressional districts received 81 percent more stimulus funds than Republican districts.",stimulus,an op-ed piece.,3,0.6680277,3,half-true,allow
barely-true,You had supported John McCain's military strategies pretty adamantly until this race.,iraq,St. Louis,2,0.70954704,5,true,allow
barely-true,$29 is what families on SNAP (i.e. food stamps) have to live on for a week.,"federal-budget,hunger",a tweet,2,0.737865,5,true,allow
true,Nothing in the Constitution explicitly guarantees our right to vote.,"elections,legal-issues,supreme-court",a speech,5,0.68899065,5,true,allow
true,"Medicare costs have slowed down dramatically. In fact, the first two months of this fiscal year, Medicare costs were down even in nominal terms relative to the previous year.","federal-budget,health-care,medicare","an interview on CNN's ""State of the Union""",5,0.7049245,3,half-true,allow
mostly-true,No poll done this year ... shows less than a majority to reinstate a federal ban on assault weapons.,"guns,polls",a speech on the Senate floor,4,0.7022841,4,mostly-true,allow
pants-fire,"In the 2012 election, there were more votes cast than registered voters in St. Lucie County, and Palm Beach County had 141 percent turnout.",elections,a viral image,0,0.74771434,5,true,allow
true,"There is nothing in the current state public records law that prohibits sensitive or confidential business information from being just that, confidential.","government-efficiency,jobs",a news release,5,0.779758,5,true,allow
mostly-true,We did not even have a federal income tax in this country until 1913.,"history,taxes",a web post.,4,0.7371451,5,true,allow
mostly-true,"Says opponent U.S. Rep. Gwen Moore is Wisconsins most absent member of Congress, missing nearly 17 percent of the House votes in the second quarter of 2012.",voting-record,a radio ad,4,0.7569842,5,true,allow
barely-true,Eliminating affirmative action in admissions in Florida led to more African American and Hispanic kids attending our university system than before.,education,a CPAC appearance,2,0.6528814,3,half-true,allow
half-true,"When it comes to transportation funds, Georgians spend more in taxes and on red tape than they get back from the federal government.","taxes,transportation",a speech,3,0.6800274,4,mostly-true,allow
false,Wisconsins projected state budget shortfall is now as low as $1.5 billion,state-budget,a statutorially required report on the state budget deficit,1,0.69068784,4,mostly-true,allow
true,"Before the Republican wave in 2010, Democrats had an advantage on the generic ballot in Congress. Even in 1994 with the Gingrich revolution ... Democrats had that advantage.",elections,"a conversation on ABC's ""This Week""",5,0.68030673,4,mostly-true,allow
mostly-true,"Says hes arrested more criminals, including thousands of child predators and sex offenders, than any previous Texas attorney general.","crime,criminal-justice,job-accomplishments,public-safety",a campaign television ad,4,0.6745982,3,half-true,allow
mostly-true,"We have an Army that just cut 40,000 spots.",military,a speech at the Iowa State Fair,4,0.6506486,3,half-true,allow
mostly-true,"In South Sudan, more teenage girls die in childbirth than finish high school.","education,foreign-policy,poverty,public-health,women",an article on Medium,4,0.6513977,4,mostly-true,allow
mostly-true,"Despite attention on global warming, fewer Americans carpool today to work than carpooled in 1980 and SUVs have never been a larger proportion of the vehicles being sold in this country.","climate-change,environment,transportation",a TV talk show,4,0.71560335,4,mostly-true,allow
mostly-true,"Says in 2002, he won more Hispanic votes than Anglo votes, 60 percent in the state.","candidates-biography,diversity,elections",a Telemundo News interview,4,0.7826301,5,true,allow
barely-true,"Since the beginning of the year weve created a net increase of 45,000 jobs.","economy,jobs",a television interview,2,0.65404415,3,half-true,allow
mostly-true,Texas has a higher unemployment rate than neighboring states.,economy,an e-mail,4,0.7140667,4,mostly-true,allow
true,"The State Election Board has issued nearly $275,000 in fines to violators of absentee ballot laws.",elections,,5,0.66865593,5,true,allow
true,"Dark money spending in the 2016 election cycle is 10 times what it was at the same point in the 2012 election cycle, when it topped $308 million.","campaign-finance,congress,elections",a campaign email,5,0.71257305,4,mostly-true,allow
barely-true,The average age of the minimum wage worker is 35 years old.,"corporations,economy,government-regulation,income,labor,poverty,states,wealth,workers",a speech on the floor of the Rhode Island Senate,2,0.7080429,4,mostly-true,allow
half-true,"Says McCain ""supported George Bush's policies 95 percent of the time.""",bush-administration,"a rally in Springfield, Ill.",3,0.7251765,4,mostly-true,allow
true,More Americans have died from guns in the United States since 1968 than on battlefields of all the wars in American history.,"guns,military",his column in the New York Times,5,0.77439106,5,true,allow
true,"There is no war on coal. Period. There are more coal jobs and more coal produced in Ohio than there were five years ago, in spite of the talking points and the yard signs.","economy,energy,environment,jobs",a debate,5,0.6611413,3,half-true,allow
true,More women are graduating from college now than men.,"education,women",remarks to voters in Kentucky,5,0.7108884,4,mostly-true,allow
mostly-true,"We have 41,000 people right now on the waitlist for financial-based assistance for our tech colleges and universities, most of them for tech schools.","education,state-budget",an interview,4,0.70391417,4,mostly-true,allow
mostly-true,Says Donald Trump once suggested that he would try to negotiate down the national debt.,"candidates-biography,debt,deficit,economy,federal-budget",a Presidential debate,4,0.6635011,5,true,allow
half-true,The increase in the current state budget was greater than the inflation rate and the rate of population growth in Georgia.,state-budget,a press release,3,0.79424614,5,true,allow
false,Six thousand people have sought addiction treatment through expanded Medicaid.,"bipartisanship,drugs,medicaid",her State of the State speech in Nashua,1,0.70517784,4,mostly-true,allow
mostly-true,"When students leave our high schools and they go to the community college, 70-75 percent of them have to pay to take remedial math.","children,education","an appearance on ""A Lively Experiment.""",4,0.6526412,4,mostly-true,allow
half-true,"Ninety-six percent of failing schools are spending above $8,400, the average annual per student expenditure, and 26 percent spend considerably more than that.",education,an interview,3,0.6996723,3,half-true,allow
half-true,"Says that 98,184 Texans are now driving with temporary drivers licenses lacking their photos.","crime,elections,legal-issues",a Texas Senate committee meeting.,3,0.71975464,4,mostly-true,allow
false,Hedge fund managers pay less in taxes than nurses and truck drivers.,"economy,income,jobs,taxes","an appearance in Mason City, Iowa",1,0.7181781,5,true,allow
half-true,Says Mitch McConnell voted two times against the Violence Against Women Act.,"crime,criminal-justice,message-machine-2014,women",a campaign ad,3,0.6515897,5,true,allow
true,"Whether the Amendment passes or not, the medical use of marijuana is a federal criminal offense.","criminal-justice,drugs,health-care,marijuana,states",an initial brief to the Florida Supreme Court,5,0.7540511,5,true,allow
half-true,"Based on current trends, 15.5 million girls will be married in the next 16 years as children.",women,a speech at the UN,3,0.6706664,4,mostly-true,allow
mostly-true,"New Mexico was 46th in teacher pay (when he was elected), now we're 29th.",education,a TV ad.,4,0.66590726,3,half-true,allow
false,David Perdue has never voted in a Republican primary until his name was on the ballot.,voting-record,Friends of Jack Kingston flyer,1,0.6812245,5,true,allow
half-true,"If you don't count illegal aliens, people who qualify for other insurance, and people who make more than $75,000 a year, it leaves about 15 million people who are uninsured.",health-care,an interview on Fox News,3,0.70070815,4,mostly-true,allow
false,Says Oregon state employees received a catch-up pay raise in 1981 -- just two years after they agreed not to take a raise in exchange for a retirement benefit.,"labor,retirement,unions",a press briefing,1,0.66145813,4,mostly-true,allow
mostly-true,"Here in Pennsylvania, the annual cost for infant childcare is over $10,000 per child, which is more than most families pay in rent and almost the same cost as in-state college tuition.","children,families,poverty",,4,0.79300857,5,true,allow
true,"Under this tax cut, middle-class families dont save enough for a weeks worth of groceries, while millionaires save enough to go on an exotic vacation.","income,taxes",a press release,5,0.6918341,4,mostly-true,allow
true,The poverty rate amongst women is the worst its been in 17 years and the extreme poverty rate is the worst its ever been.,"poverty,women",a debate.,5,0.73058236,4,mostly-true,allow
barely-true,Donald Trump says that NATO is obsolete and that we need to get rid of NATO...,"foreign-policy,military",a debate.,2,0.65072644,3,half-true,allow
mostly-true,The problem of unwanted sexual contacts in the military is not just a womans issue. More than half of the victims are men.,military,an interview on Face the Nation,4,0.6511718,4,mostly-true,allow
false,"A proposed regional transportation tax will last a minimum of 10 years, and has been approved to last longer.",transportation,,1,0.69075406,4,mostly-true,allow
half-true,Says our 12 month job increase was the sixth highest in the nation.,jobs,a speech before the state Legislature,3,0.71220267,4,mostly-true,allow
half-true,The Democrats in the Senate and some members of Congress defended what Fannie and Freddie were doing. They resisted any change.,economy,"Nashville, Tenn.",3,0.6595597,5,true,allow
barely-true,Says Gov. Mike Pence and Rep. Mike Coffman take the same positions on a number of things... Coffman and Pence oppose equal rights for LGBT Americans.,gays-and-lesbians,a news release,2,0.6634543,5,true,allow
barely-true,"All of Floridas four-year state colleges now offer bachelors degrees for only $10,000.",education,his State of the State speech,2,0.7830756,5,true,allow
true,"Last year, we had zero percent growth in GDP in Virginia ...The only states that did worse than us were Alaska and Mississippi.",economy,a candidates' forum.,5,0.76616293,5,true,allow
mostly-true,"In 1990, the U.S. led the world in the percentage of 25-34 year olds with college degrees. Today we are in 12th place.",education,a meme on social media,4,0.7357837,4,mostly-true,allow
half-true,"In Cobb County, every meeting opened with a prayer. The ACLU objected. Sued ... [Sam] Olens took on the ACLU and won!","legal-issues,religion",a campaign ad,3,0.6599736,5,true,allow
true,Felony crimes in the city of Atlanta are the lowest they have been since 1969.,crime,a speech,5,0.7533087,4,mostly-true,allow
mostly-true,Voter turnout for some groups in the 2008 presidential general election in Georgia was far greater than it should have been demographically.,elections,a town hall meeting,4,0.69026166,4,mostly-true,allow
half-true,"Medicare only has about 50 percent of it paid for by either premiums or payroll taxes, and the rest is deficit spending ... or debt spending.","medicare,abc-news-week","ABC's ""This Week""",3,0.67008805,3,half-true,allow
half-true,District 22 includes about 80% of the district I have represented since 2010. District 20 includes about 20% of the area I have represented since 2010.,redistricting,a newsletter,3,0.8428085,5,true,allow
false,We now work the longest hours of any people around the world.,labor,a C-SPAN interview,1,0.71370083,5,true,allow
mostly-true,"When lenders foreclose on homes, they typically suffer losses that exceed 30 percent of the value of the home.",housing,"an op-ed in the ""National Review""",4,0.72231686,4,mostly-true,allow
barely-true,"We haven't built a refinery, I think, in 30 years.",energy,"a debate in Manchester, N.H.",2,0.75776666,5,true,allow
