label,statement,subject,context,label_encoded,truthfulness_score,predicted_class,predicted_label,gate_decision
false,"The Obama administration leaked information, deliberately or otherwise, that led to the identification of the Pakistani doctor that helped us in achieving our goals and killing bin Laden.","foreign-policy,message-machine-2012,military,terrorism",a web video,1,0.27474117,0,pants-fire,reject
mostly-true,"Says, when this governor came to office, he had (an) 11 billion dollar - I call it mismanagement deficit.","debt,deficit,state-budget","a panel discussion for ""On The Record with Michael Aron""",4,0.34655932,1,false,reject
false,Says President Barack Obama spent nearly a trillion dollars on make-work government jobs.,"economy,federal-budget,jobs,stimulus",a response to the State of the Union address,1,0.24038933,0,pants-fire,reject
half-true,Says a Ted Cruz ad has got me bull-dozing down a house.I never bulldozed it down. Its false advertising.,housing,"an interview on NBC's ""Meet the Press""",3,0.16466951,0,pants-fire,reject
barely-true,There would be tens of thousands of jobs created if President Barack Obama approved the Keystone XL pipeline.,"environment,jobs","a segment on ""Fox & Friends""",2,0.31451306,1,false,reject
false,Says Republican Rep. Charlie Dent wants to kick the Freedom Caucus out of the Republican conference for voting our conscience.,"congress,congressional-rules,corrections-and-updates","comments on ""Meet the Press""",1,0.33761534,1,false,reject
false,Obamacare ... will kill jobs across America.,"health-care,jobs,message-machine-2012",a television ad,1,0.14287789,0,pants-fire,reject
true,On federal stimulus money for expanding rail service.,"federal-budget,state-budget,stimulus,transportation",an announcement of an application for federal stimulus money for rail,5,0.3316872,1,false,reject
pants-fire,"If you and I fail to defund ObamaCare now, some 16,000 new IRS agents will be begin prying into our private medical records, eyeing each and every one of our treatments and prescriptions for violations.","health-care,retirement",a direct mail letter,0,0.113666296,0,pants-fire,reject
mostly-true,"The Clinton Foundation is a charity where President and Secretary Clinton and their daughter, they take no salary, they get no money from it, they take no personal benefit from it.","candidates-biography,ethics",The Diane Rehm Show,4,0.3198097,1,false,reject
pants-fire,Federal health care reforms amounted to the government takeover of health care.,health-care,a television ad,0,0.063744366,0,pants-fire,reject
half-true,Barack Obama and Hillary Clinton have changed their positions (on the Iraq war withdrawal) to follow Chris Dodd.,iraq,a TV ad.,3,0.33408362,2,barely-true,reject
pants-fire,Mitch McConnell voted with Harry Reid to infringe on our gun rights.,"congress,guns",a television ad,0,0.10801875,0,pants-fire,reject
false,"The EPA wants to hire 230,000 new government regulators that will cost the taxpayer $21 billion.","environment,federal-budget,market-regulation",a TV interview,1,0.341711,1,false,reject
false,"If the Trans-Pacific Partnership is fast-tracked through the Senate, it wont receive a committee assignment and the consideration will include no debate.","congressional-rules,trade",a chain email,1,0.08271351,0,pants-fire,reject
half-true,On whether the government should bail out insurance giant AIG.,"corporations,economy",,3,0.32815075,1,false,reject
pants-fire,The Cleveland police has issued a stand down order to officers.,public-safety,his blog,0,0.21192694,0,pants-fire,reject
false,We didnt go out asking people to join the stand your ground task force.,"crime,public-safety",Capitol news conference,1,0.316834,0,pants-fire,reject
pants-fire,Foreign Chinese prostitution money is allegedly behind the groups funding Congressman Sean Duffys Republican Majority.,campaign-finance,a news release,0,0.096695125,0,pants-fire,reject
true,"Says a YouTube video shows Thomas DiMassimo, the man who rushed Trump at an Ohio rally, dragging the American flag on the ground like it was a piece of garbage.",elections,"Donald Trump on Sunday, March 13th, 2016, in an interview on ""Meet the Press""",5,0.16746077,0,pants-fire,reject
half-true,The transportation package passed by the General Assembly would impose the largest tax increase in Virginias history.,taxes,a website post.,3,0.22067991,1,false,reject
true,Sayvideo shows massive alligator strolling across Florida golf course.,animals,Internet posts,5,0.047798816,0,pants-fire,reject
half-true,On whether people can keep their insurance under the Affordable Care Act.,health-care,a TV interview.,3,0.32039332,1,false,reject
pants-fire,"Says Joseph Stalin said if you want to bring America down you, have to undermine three things: our spiritual life, our patriotism and our morality.",foreign-policy,a GOP debate on CBS,0,0.24766907,0,pants-fire,reject
false,Bryce Reeves chaired a group bankrolled by a New York billionaire who fired hundreds of Virginia workers and sent their jobs to China.,"china,jobs,message-machine-2012",a TV ad.,1,0.33785906,2,barely-true,reject
false,"The largest tax increase that we have ever had in our state is yours it is the business margins tax that you signed, governor.","corporations,economy,small-business,taxes",in a Republican gubernatorial debate,1,0.31035134,1,false,reject
half-true,Says my plan is a property tax cut.,"state-budget,taxes",an interview on NJToday,3,0.31276026,1,false,reject
half-true,Not one American flag on the massive stage at the Democratic National Convention until people started complaining- then a small one. Pathetic.,patriotism,a tweet,3,0.22549997,0,pants-fire,reject
pants-fire,A bill by Earl Blumenauer would mandate GPS tracking devices on all our vehicles.,"privacy,transportation",a statement on campaign website,0,0.29527852,1,false,reject
pants-fire,A picture shows former President Bill Clinton naked with another woman.,fake-news,a post on their website,0,0.0455227,0,pants-fire,reject
half-true,Sherrod Brown and his special interest allies in Washington are plotting to spend over $13 million to defeat Josh Mandel.,"campaign-finance,elections",an emailed statement,3,0.06925518,0,pants-fire,reject
false,"On the new dollar coins, ""'In God We Trust' is gone!""",patriotism,a message circulated to many people.,1,0.10728301,0,pants-fire,reject
true,On allowing a vote on universal gun background checks in the U.S. Senate.,guns,,5,0.3389669,1,false,reject
barely-true,"President Barack Obama, Nancy Pelosi and Harry Reid support Rick Perrys decision to give in-state tuition to illegal immigrants.","education,immigration",a campaign video.,2,0.26507616,1,false,reject
true,Obama has more czars than the Romanovs.,pop-culture,a Twitter message,5,0.11834907,0,pants-fire,reject
false,Gov. McDonnells proposed budget is cutting public education.,"city-budget,county-budget,education,pensions,state-budget",a speech.,1,0.26484394,1,false,reject
pants-fire,Im not a conspiracy theorist and I never allow conspiracy theorists on my program.,pundits,"a segment on RT's ""CrossTalk""",0,0.110228755,0,pants-fire,reject
barely-true,"In California, the windmills are killing hundreds and hundreds of eagles.","energy,environment",a speech on energy policy,2,0.18634067,0,pants-fire,reject
false,Says Gov. Scott Walker dropped out or was kicked out of college short of a degree not long after he was kicked out of student elections at Marquette University.,"candidates-biography,education",a web posting,1,0.23860276,0,pants-fire,reject
barely-true,Federal stimulus money went to a Georgia Tech project that will apparently involve the professor jamming with world-renowned musicians to hopefully also create satisfying works of art.,stimulus,a report,2,0.3283546,0,pants-fire,reject
true,Heroin .. pours across our southern borders.,drugs,the third presidential debate,5,0.3103385,0,pants-fire,reject
barely-true,"Sources show (Connie) Mack as a resident of California, living with his wife in Palm Springs.",candidates-biography,a Web ad,2,0.23044355,0,pants-fire,reject
false,"Says Ohio Rep. Marcy Kaptur actually lives in a fancy condo in the Washington, D.C. suburbs.","congress,elections,job-accomplishments,message-machine-2012",a campaign commercial,1,0.15093423,0,pants-fire,reject
pants-fire,Says there is an upcoming vote to preserve benefits of Texas homestead exemption for seniors and the disabled.,"elections,taxes",a chain email forwarded by an Austin American-Statesman reader.,0,0.074490786,0,pants-fire,reject
pants-fire,The government is trying to now close the Lincoln Memorial for any kind of large gatherings.,"civil-rights,pundits",comments on his radio program,0,0.07929058,0,pants-fire,reject
barely-true,You know what (Saddam Hussein) did well? He killed terrorists.,"foreign-policy,terrorism","a rally in Raleigh, N.C.",2,0.28095013,0,pants-fire,reject
false,On redistricting.,redistricting,an interview.,1,0.3299696,1,false,reject
mostly-true,Obama-Nelson economic record: Job creation ... at slowest post-recession rate since Great Depression.,"economy,jobs",a tweet,4,0.2923258,1,false,reject
pants-fire,"The Trans-Pacific Partnership was designed for China to come in, as they always do, through the back door and totally take advantage of everyone.","china,trade",the fourth GOP primary debate.,0,0.1946923,0,pants-fire,reject
false,"Says the stimulus bill sent tax credits overseas, such as half a billion to an electric car company that created hundreds of jobs in Finland.","corporations,energy,environment,message-machine-2012,stimulus",a TV ad,1,0.18253063,0,pants-fire,reject
half-true,"Military spending cuts, known as the sequester, were President Barack Obamas idea.","federal-budget,military",the Republican response to the State of the Union,3,0.21533367,0,pants-fire,reject
false,Bill McCollum backed Jim Greers effort to hide financial irregularities.,"ethics,message-machine,transparency",a TV ad.,1,0.16973832,0,pants-fire,reject
false,"In one year, (President Obama) provided $90 billion in breaks to the green energy world into solar and wind, to Solyndra and Fisker and Tesla and Ener1.","candidates-biography,corporations,debates,energy,environment,stimulus",the first presidential debate in Denver,1,0.30312967,2,barely-true,reject
pants-fire,Youve been tremendously deceived by people who say the Earth is not flat.,"corrections-and-updates,science,space",in a Jan. 25 tweet,0,0.08472188,0,pants-fire,reject
half-true,Jennifer Carrolls an outsider.,"candidates-biography,elections",a press conference.,3,0.30272236,1,false,reject
half-true,"Says Mitt Romneys housing policy is, Dont try and stop the foreclosure process. Let it run its course and hit the bottom.","housing,message-machine-2012",a campaign ad,3,0.32691735,2,barely-true,reject
barely-true,"In just a few years in office, Sen. Obama has accumulated the most liberal voting record in the Senate.",candidates-biography,a speech in New Orleans,2,0.29283893,1,false,reject
mostly-true,Individuals and small businesses will be hit by increases in health insurance premiums as high as 39 percent.,health-care,a recorded phone message,4,0.3187623,1,false,reject
mostly-true,Says Barack Obamas comments indicate he believes in redistribution of wealth.,"government-efficiency,message-machine-2012",a speech,4,0.23691279,0,pants-fire,reject
pants-fire,Says the word Dhimmitude is on page 107 of the health care law and means Muslims are specifically exempted from the government mandate to purchase insurance.,"health-care,religion",a chain email,0,0.04375188,0,pants-fire,reject
half-true,On the National Animal Identification System.,"agriculture,candidates-biography",a Tea Party rally in El Paso,3,0.32990423,1,false,reject
pants-fire,Elorza wants to teach our public school children about the non-existence of God.,"candidates-biography,education,government-regulation,legal-issues,campaign-advertising,pop-culture,religion,science,unions",in a mailer,0,0.051736116,0,pants-fire,reject
false,On implementing a sales tax.,"message-machine,taxes",a television ad,1,0.33222985,1,false,reject
false,"A few weeks ago, (the) education committee in Congress is deciding whats going to be in your local salad bar.","congress,education,food-safety,market-regulation",a podcast.,1,0.19462533,0,pants-fire,reject
half-true,Republicans are attempting to remove Barack Obama from Georgias Presidential Ballot in 2012.,elections,an online fundraising bid,3,0.06047712,0,pants-fire,reject
pants-fire,"Fluoride in the water, that was originally done by the Nazis!","corrections-and-updates,history,public-health,science,water",an interview with Salon.com,0,0.18683748,0,pants-fire,reject
half-true,"Says the health care reform bill was paid for, in part, by taking money from students and the student loan system.","education,health-care",a conference call with reporters,3,0.31578466,1,false,reject
half-true,Says a prank phone call caused 400 children to be taken from their parents... without warrant.,civil-rights,an e-mail.,3,0.16833468,0,pants-fire,reject
pants-fire,A bill that could restrict free speech when the president is nearby was signed by President Barack Obama in secret.,"congressional-rules,legal-issues,transparency",an interview on Fox News,0,0.15821011,0,pants-fire,reject
pants-fire,"This town (Wilmington, Ohio) hasnt taken any money from the government. They dont want any money from the government.","economy,families,jobs,pundits",his radio broadcast,0,0.11675554,0,pants-fire,reject
false,"We were not, I repeat, were not told that waterboarding or any of these other enhanced interrogation methods were used.",terrorism,a news conference.,1,0.28272924,0,pants-fire,reject
barely-true,Republicans offered Wisconsin bar patrons free shots (of alcohol) to sign recall petitions against Democrats.,"elections,labor,state-budget",a tweet,2,0.1953411,0,pants-fire,reject
true,Says Donald Trumpsfoundation took money other people gave to his charity and then bought a six-foot-tall painting of himself.,candidates-biography,a speech in Philadelphia,5,0.15974806,0,pants-fire,reject
false,On Common Core.,education,"an op-ed in ""USA Today.""",1,0.33643615,1,false,reject
pants-fire,Florida Democrats just voted to impose Sharia law on women.,"islam,legal-issues,religion",in various social media posts,0,0.07255156,0,pants-fire,reject
half-true,Says opponent Beto ORourke wants to legalize drugs.,"drugs,marijuana,message-machine-2012",a video advertisement.,3,0.25103578,0,pants-fire,reject
false,Our economy is not growing.,economy,a speech at the Republican convention,1,0.26904225,1,false,reject
half-true,Says Scott Walkers plan to replace Obamacare is a new entitlement program for every single American human being from the time they are born right up until they grow old and become eligible for Medicare.,"federal-budget,health-care,taxes,welfare",a statement,3,0.1662356,0,pants-fire,reject
half-true,"Says Barack Obama has the legal authority to let in really however many refugees he wants, from whatever country.","federal-budget,foreign-policy,immigration,terrorism",a public forum,3,0.20716992,0,pants-fire,reject
barely-true,Says U.S. House candidate Carlos Curbelo opposes the repeal of Obamacare.,health-care,a radio ad,2,0.34893444,2,barely-true,reject
false,Says the fluoride Austin is putting in its drinking water is toxic waste.,public-health,a letter.,1,0.1733528,0,pants-fire,reject
half-true,Alexander Hamilton was an immigration hawk.,"history,immigration",The Rush Limbaugh Show,3,0.29956535,0,pants-fire,reject
barely-true,John Boozman supports privatizing Social Security,"message-machine,social-security",a TV ad,2,0.18876587,0,pants-fire,reject
barely-true,Jebs policies in Florida helped lead to its almost total collapse.,"economy,florida",a tweet,2,0.2728004,1,false,reject
pants-fire,"Says McCain was a ""Hanoi Hilton songbird"" who collaborated with the enemy.",candidates-biography,a flyer sent to news organizations in South Carolina,0,0.08626117,0,pants-fire,reject
half-true,House Republicans are ramming through legislation ... to classify pizza as a vegetable for the purpose of school lunches.,"education,public-health",an e-mail message,3,0.33149877,1,false,reject
barely-true,Wendy Davis legal work is currently under FBI investigation.,"candidates-biography,crime,criminal-justice,ethics",a billboard message,2,0.13276234,0,pants-fire,reject
false,On whether hes had a relationship with Vladimir Putin.,"candidates-biography,foreign-policy",various interviews and speeches,1,0.31503254,1,false,reject
false,Says Gov. Chris Christies poll ratings have been going up.,polls,"an interview with Gov. Chris Christie on ""Piers Morgan Tonight""",1,0.31196448,1,false,reject
half-true,"The U.S. energy policy is to ""borrow money from China to buy oil from countries that don't like us.""",energy,Denver,3,0.18112227,0,pants-fire,reject
true,All private healthcare plans must conform to government rules to participate in a Healthcare Exchange.,"health-care,market-regulation",a chain e-mail,5,0.10295279,0,pants-fire,reject
barely-true,"Obama supports ""teaching schoolchildren in 2nd grade, no less about homosexual relationships.""","education,gays-and-lesbians",a Web article,2,0.13926296,0,pants-fire,reject
false,Virtually every person across this country has seen premiums going up and up and up due to Obamacare.,health-care,a conversation with reporters,1,0.34459978,2,barely-true,reject
pants-fire,The Affordable Care Act will likely go down as the biggest tax increase in history.,"financial-regulation,health-care,taxes",a news release,0,0.12429832,0,pants-fire,reject
pants-fire,"Says Marco Rubio believes the earth is 9,000 years old and that humans hunted dinosaurs to extinction; says Rand Paul believes the earth is 10,000 years old and God removed dinosaurs to make space for humans.","religion,science",a post from Being Liberal,0,0.16342798,0,pants-fire,reject
half-true,The Affordable Care Act basically puts a penalty or a tax on employers for every new job they create.,"economy,health-care,jobs,taxes","an interview on CBS' ""60 Minutes""",3,0.3444082,1,false,reject
barely-true,"In the Patient Protection and Affordable Care Act, it was the Democrats who cut $500 billion from Medicare. And they also put in place the Independent Payment Advisory Board, 15 unelected bureaucrats, which will be making decisions about health care for our seniors and for all Americans.","health-care,medicare",a Fox News interview,2,0.29020476,2,barely-true,reject
false,"POTUS economists: Stimulus Has Cost $278,000 per job.",stimulus,a tweet on Twitter,1,0.22208506,0,pants-fire,reject
false,"Says Donald Trumps conversion to pro-life beliefs are akin to Justin Biebers, who said in the past that abortion was no big deal to him.",abortion,an interview on CNN,1,0.17687598,0,pants-fire,reject
half-true,Roy Barnes is like Barack Obama because theyre both doing a lot of apologizing.,message-machine,a TV commercial,3,0.06813449,0,pants-fire,reject
pants-fire,Barack Obama thinks terrorists just need a good talking to.,terrorism,a direct mail piece,0,0.09699515,0,pants-fire,reject
half-true,Says Rick Scott stripped women of access to public health care.,abortion,a confrontation with Rick Scott at Starbucks,3,0.12796785,0,pants-fire,reject
mostly-true,"Bill Nelson voted to confirm Sonia Sotomayor, who signed a Supreme Court opinion saying Americans do not have an individual right to own firearms.","guns,supreme-court",an anti-Nelson mailer,4,0.2982189,2,barely-true,reject
barely-true,Says President Barack Obama already passed all these Obamacare taxes. About a dozen of them hit middle-income taxpayers.,"health-care,taxes","an interview on ""Fox News Sunday""",2,0.3129418,2,barely-true,reject
barely-true,The presidents health care law raids Medicare by more than $500 billion and creates a Medicare rationing board a group of 15 unelected bureaucrats to slow the growth of Medicare spending.,"health-care,medicare",an op-ed on NorthJersey.com,2,0.2980861,1,false,reject
true,On the Troubled Asset Relief Program (TARP),financial-regulation,statements to the media,5,0.3331464,1,false,reject
false,"Says U.S. Rep. Ron Kinds stimulus cost taxpayers $278,000 per job.","jobs,stimulus,taxes",a news release,1,0.28658488,1,false,reject
half-true,"When you read the Koran, it talks about dont take Christians and Jews as your friends.",islam,"a segment on ""Hannity""",3,0.21535246,0,pants-fire,reject
false,Says CharlieCrist made it easier for Duke to take your money.,"energy,florida",a campaign commercial,1,0.33486134,2,barely-true,reject
barely-true,Says a Barack Obama black imposter joke got a standing ovation at San Angelo rodeo.,polls,a chain email.,2,0.051419947,0,pants-fire,reject
barely-true,"Judging by a recent vote, Rep. Debbie Wasserman Schultz thinks its okay for medical marijuana patients to go to federal prison.","crime,criminal-justice,drugs,marijuana",a TV ad,2,0.2707761,0,pants-fire,reject
half-true,Jane Norton supported the largest tax hike in Colorado history.,"message-machine,state-budget,states,taxes",an issue advocacy ad,3,0.27252746,1,false,reject
half-true,We have never done business with Donald Trump.,candidates-biography,a TV interview on WFLA,3,0.29307735,0,pants-fire,reject
pants-fire,The Bundy Ranch deal is all about Nevada Sen. Harry Reid using federal violence to take peoples land in his state so he can package it to re-sell it to the Chinese.,"china,environment,government-regulation",multiple blog and video posts,0,0.057545695,0,pants-fire,reject
false,Says Wisconsin women facing pay discrimination cant do something about it under bill passed by Republicans.,"civil-rights,legal-issues,women,workers",a speech,1,0.28951478,1,false,reject
half-true,Says city of Portland has a one-time $22 million surplus,government-efficiency,his blog,3,0.30233735,1,false,reject
false,The New England Journal of Medicine released a survey the week that President Obama signed Obamacare stating that over 30 percent of American physicians would leave the profession if the government took over health care.,health-care,"on CBS's ""Face the Nation""",1,0.24711886,1,false,reject
barely-true,The Obama administration gave Iran $400 million in ransom payment cash.,"foreign-policy,nuclear,terrorism",remarks in Michigan,2,0.21487154,0,pants-fire,reject
false,"I remember one of [Curt Schillings] teammates said he painted his sock, the bloody sock.","baseball,economy,pop-culture",in a comment on the John DePetro Show,1,0.059125632,0,pants-fire,reject
false,The federal health care law is probably the biggest tax increase ever in the history of our country.,"health-care,taxes",comments during a tour of a manufacturing plant.,1,0.08998127,0,pants-fire,reject
mostly-true,Uses headlines to portray Gov. Rick Perry as beholden to special interests.,ethics,A TV advertisement,4,0.15157072,0,pants-fire,reject
half-true,"A mailer from the Obama campaign ""accurately indicates"" that Hillary Clinton would ""force uninsured people to buy insurance, even if they can't afford it.""",health-care,"Cleveland, Ohio",3,0.27497235,0,pants-fire,reject
pants-fire,Says Ohio Treasurer Josh Mandel supports allowing the United States to default on its obligations.,"deficit,federal-budget",a news release,0,0.3394723,1,false,reject
pants-fire,"Says Ted Cruz was just bribed by the Kochs to introduce a bill that would give them and their allies Americas national forests, parks, and other public lands and open them for mining, drilling, fracking and logging.","campaign-finance,candidates-biography,crime,environment",a Facebook photo post,0,0.22989438,0,pants-fire,reject
false,On subsidies for ethanol production.,"agriculture,environment,federal-budget",a blog post.,1,0.32448056,1,false,reject
false,Says Bruce Starr broke the law by letting lobbyists wine and dine him in Maui.,"ethics,message-machine",a television ad,1,0.16210386,0,pants-fire,reject
pants-fire,Latina who enthusiastically supported Donald Trump on stage in Las Vegas in October 2015 has been deported.,immigration,"social media posts, blogs",0,0.3266367,0,pants-fire,reject
half-true,"On the economic crisis, ""the biggest problem in this whole process was the deregulation of the financial system.""",economy,"Nashville, Tenn.",3,0.341285,1,false,reject
half-true,"Says Daniel Webster wants to make divorce illegal, even for abused wives.","marriage,message-machine,religion,women",a TV ad.,3,0.18297136,0,pants-fire,reject
barely-true,"Because of the health care act, The people who have health care and like it in this county are not going to be able to keep what they have.",health-care,a TV interview.,2,0.21409397,0,pants-fire,reject
mostly-true,Ford is moving all of their small-car production to Mexico.,"corporations,trade,workers","a rally in Delaware, Ohio",4,0.2940869,1,false,reject
false,Says Kay Hagan supports waivers for friends of Obama and special treatment for Congress and their staffs.,health-care,a YouTube ad,1,0.33152238,2,barely-true,reject
half-true,Says shes never said dont build Texas 45 Southwest.,transportation,an Austin American-Statesman news stor,3,0.19987737,0,pants-fire,reject
true,"If sea levels rise six feet due to climate change, Waterplace Park in Providence and Wickford village would be swamped","environment,science",a TV interview,5,0.24256667,0,pants-fire,reject
false,The Madison-Milwaukee (high-speed) train line is dead.,"job-accomplishments,transportation",a statement issued by a transition team leader,1,0.34832788,1,false,reject
barely-true,Sherrod Brown supported President Obamas $453 billion tax increase.,"economy,jobs,message-machine-2012,taxes",a television ad,2,0.08521638,0,pants-fire,reject
half-true,Says Connie Mack is protecting Chevron oil from a multi-billion dollar lawsuit over pollution of rivers and rainforests.,"congress,oil-spill",a TV attack ad,3,0.29499394,2,barely-true,reject
false,Says the Simpson-Bowles deficit reduction proposal went from President Barack Obamas desk to the garbage can.,"deficit,federal-budget,new-hampshire-2012","an NBC-Facebook debate in Concord, N.H.",1,0.25014687,0,pants-fire,reject
